paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumHCH_ngg,0.14,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumHCH_ngg,0.69,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumHCH_ngg,0.2,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumHCH_ngg,0.61,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumDDT_ngg,2.3,Unknown,table_p5_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Standard_deviation,SumDDT_ngg,7.75,Unknown,table_p5_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumHCH_ngg,0.0,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumHCH_ngg,0.0,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumHCH_ngg,0.0,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumHCH_ngg,0.0,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumDDT_ngg,0.0,Unknown,table_p5_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72315_03601230500357538,72315_03601230500357538_Min_value,SumDDT_ngg,0.0,Unknown,table_p5_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
